,JALSH Index,JALSHTR Index,RESI20 Index,RESI20TR Index,INDI25 Index,INDI25TR Index,FINI15 Index,FINI15TR Index,FINDI30 Index,FIND30TR Index,JSHRAL Index,JSHRALTR Index
1995/01/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/01/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/02/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/03/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/04/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/05/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1995/06/30,4880.45,#N/A,#N/A,#N/A,5741.61,#N/A,#N/A,#N/A,7113.91,#N/A,#N/A,#N/A
1995/07/03,4828.46,#N/A,#N/A,#N/A,5710.85,#N/A,#N/A,#N/A,7084.24,#N/A,#N/A,#N/A
1995/07/04,4868.2,#N/A,#N/A,#N/A,5735.52,#N/A,#N/A,#N/A,7111.35,#N/A,#N/A,#N/A
1995/07/05,4846.58,#N/A,#N/A,#N/A,5742.4,#N/A,#N/A,#N/A,7125.81,#N/A,#N/A,#N/A
1995/07/06,4849.59,#N/A,#N/A,#N/A,5744.11,#N/A,#N/A,#N/A,7119.52,#N/A,#N/A,#N/A
1995/07/07,4907.19,#N/A,#N/A,#N/A,5820.42,#N/A,#N/A,#N/A,7198.42,#N/A,#N/A,#N/A
1995/07/10,4897,#N/A,#N/A,#N/A,5824.77,#N/A,#N/A,#N/A,7196.92,#N/A,#N/A,#N/A
1995/07/11,4867.06,#N/A,#N/A,#N/A,5795.92,#N/A,#N/A,#N/A,7167.8,#N/A,#N/A,#N/A
1995/07/12,4896.04,#N/A,#N/A,#N/A,5831.6,#N/A,#N/A,#N/A,7195.14,#N/A,#N/A,#N/A
1995/07/13,4930.77,#N/A,#N/A,#N/A,5859.33,#N/A,#N/A,#N/A,7232.61,#N/A,#N/A,#N/A
1995/07/14,4914.63,#N/A,#N/A,#N/A,5846.31,#N/A,#N/A,#N/A,7211.82,#N/A,#N/A,#N/A
1995/07/17,4940.83,#N/A,#N/A,#N/A,5865.68,#N/A,#N/A,#N/A,7236.52,#N/A,#N/A,#N/A
1995/07/18,4989.31,#N/A,#N/A,#N/A,5938.62,#N/A,#N/A,#N/A,7321,#N/A,#N/A,#N/A
1995/07/19,4973.7,#N/A,#N/A,#N/A,5901.99,#N/A,#N/A,#N/A,7278.03,#N/A,#N/A,#N/A
1995/07/20,4928.77,#N/A,#N/A,#N/A,5848.17,#N/A,#N/A,#N/A,7206.93,#N/A,#N/A,#N/A
1995/07/21,4912.26,#N/A,#N/A,#N/A,5832.35,#N/A,#N/A,#N/A,7189.28,#N/A,#N/A,#N/A
1995/07/24,4922.84,#N/A,#N/A,#N/A,5816.94,#N/A,#N/A,#N/A,7170.05,#N/A,#N/A,#N/A
1995/07/25,4923.93,#N/A,#N/A,#N/A,5826.09,#N/A,#N/A,#N/A,7180.88,#N/A,#N/A,#N/A
1995/07/26,4903.74,#N/A,#N/A,#N/A,5799.06,#N/A,#N/A,#N/A,7152.57,#N/A,#N/A,#N/A
1995/07/27,4910.98,#N/A,#N/A,#N/A,5810.43,#N/A,#N/A,#N/A,7164.66,#N/A,#N/A,#N/A
1995/07/28,4892.91,#N/A,#N/A,#N/A,5821.32,#N/A,#N/A,#N/A,7168.72,#N/A,#N/A,#N/A
1995/07/31,4919,#N/A,#N/A,#N/A,5854.97,#N/A,#N/A,#N/A,7201.43,#N/A,#N/A,#N/A
1995/08/01,4923.23,#N/A,#N/A,#N/A,5878.71,#N/A,#N/A,#N/A,7228.53,#N/A,#N/A,#N/A
1995/08/02,4988.65,#N/A,#N/A,#N/A,5979.26,#N/A,#N/A,#N/A,7337.52,#N/A,#N/A,#N/A
1995/08/03,4991.97,#N/A,#N/A,#N/A,5954.78,#N/A,#N/A,#N/A,7313.53,#N/A,#N/A,#N/A
1995/08/04,5004.43,#N/A,#N/A,#N/A,5969.62,#N/A,#N/A,#N/A,7331.35,#N/A,#N/A,#N/A
1995/08/07,5022.76,#N/A,#N/A,#N/A,6007.51,#N/A,#N/A,#N/A,7367.46,#N/A,#N/A,#N/A
1995/08/08,5059.3,#N/A,#N/A,#N/A,6055.14,#N/A,#N/A,#N/A,7416.73,#N/A,#N/A,#N/A
1995/08/10,5060.63,#N/A,#N/A,#N/A,6078.6,#N/A,#N/A,#N/A,7437.23,#N/A,#N/A,#N/A
1995/08/11,5039.32,#N/A,#N/A,#N/A,6021.74,#N/A,#N/A,#N/A,7381.38,#N/A,#N/A,#N/A
1995/08/14,5021.84,#N/A,#N/A,#N/A,6003.9,#N/A,#N/A,#N/A,7352.47,#N/A,#N/A,#N/A
1995/08/15,5058.09,#N/A,#N/A,#N/A,6010.73,#N/A,#N/A,#N/A,7368.92,#N/A,#N/A,#N/A
1995/08/16,5035.72,#N/A,#N/A,#N/A,5985.47,#N/A,#N/A,#N/A,7345.15,#N/A,#N/A,#N/A
1995/08/17,5055.44,#N/A,#N/A,#N/A,5984.92,#N/A,#N/A,#N/A,7348.68,#N/A,#N/A,#N/A
1995/08/18,5057.4,#N/A,#N/A,#N/A,5970.58,#N/A,#N/A,#N/A,7327.9,#N/A,#N/A,#N/A
1995/08/21,5065.54,#N/A,#N/A,#N/A,5961.17,#N/A,#N/A,#N/A,7317.71,#N/A,#N/A,#N/A
1995/08/22,5049.47,#N/A,#N/A,#N/A,5960.35,#N/A,#N/A,#N/A,7308.29,#N/A,#N/A,#N/A
1995/08/23,5038.47,#N/A,#N/A,#N/A,5953.02,#N/A,#N/A,#N/A,7303.58,#N/A,#N/A,#N/A
1995/08/24,5045.89,#N/A,#N/A,#N/A,5950.52,#N/A,#N/A,#N/A,7307.1,#N/A,#N/A,#N/A
1995/08/25,5030.54,#N/A,#N/A,#N/A,5928.46,#N/A,#N/A,#N/A,7275.77,#N/A,#N/A,#N/A
1995/08/28,5014.71,#N/A,#N/A,#N/A,5904.82,#N/A,#N/A,#N/A,7252.26,#N/A,#N/A,#N/A
1995/08/29,5012.39,#N/A,#N/A,#N/A,5911,#N/A,#N/A,#N/A,7260.01,#N/A,#N/A,#N/A
1995/08/30,5004.58,#N/A,#N/A,#N/A,5915.15,#N/A,#N/A,#N/A,7269.95,#N/A,#N/A,#N/A
1995/08/31,5008.31,#N/A,#N/A,#N/A,5908.91,#N/A,#N/A,#N/A,7262.55,#N/A,#N/A,#N/A
1995/09/01,5003.81,#N/A,#N/A,#N/A,5897.77,#N/A,#N/A,#N/A,7254.94,#N/A,#N/A,#N/A
1995/09/04,4985.32,#N/A,#N/A,#N/A,5887.8,#N/A,#N/A,#N/A,7239.45,#N/A,#N/A,#N/A
1995/09/05,4976.46,#N/A,#N/A,#N/A,5882.67,#N/A,#N/A,#N/A,7240.58,#N/A,#N/A,#N/A
1995/09/06,5006.2,#N/A,#N/A,#N/A,5915.43,#N/A,#N/A,#N/A,7290.67,#N/A,#N/A,#N/A
1995/09/07,5043.89,#N/A,#N/A,#N/A,5960.23,#N/A,#N/A,#N/A,7341.18,#N/A,#N/A,#N/A
1995/09/08,5061.19,#N/A,#N/A,#N/A,5972.67,#N/A,#N/A,#N/A,7348.38,#N/A,#N/A,#N/A
1995/09/11,5079.77,#N/A,#N/A,#N/A,6017.82,#N/A,#N/A,#N/A,7399.06,#N/A,#N/A,#N/A
1995/09/12,5094.45,#N/A,#N/A,#N/A,6011.08,#N/A,#N/A,#N/A,7393.6,#N/A,#N/A,#N/A
1995/09/13,5112.98,#N/A,#N/A,#N/A,6013.58,#N/A,#N/A,#N/A,7400.95,#N/A,#N/A,#N/A
1995/09/14,5129.66,#N/A,#N/A,#N/A,6050.58,#N/A,#N/A,#N/A,7443.38,#N/A,#N/A,#N/A
1995/09/15,5133.7,#N/A,#N/A,#N/A,6047.46,#N/A,#N/A,#N/A,7442.71,#N/A,#N/A,#N/A
1995/09/18,5120.93,#N/A,#N/A,#N/A,6017.92,#N/A,#N/A,#N/A,7410.33,#N/A,#N/A,#N/A
1995/09/19,5129.07,#N/A,#N/A,#N/A,5989.45,#N/A,#N/A,#N/A,7385.6,#N/A,#N/A,#N/A
1995/09/20,5120.67,#N/A,#N/A,#N/A,6001.43,#N/A,#N/A,#N/A,7391.5,#N/A,#N/A,#N/A
1995/09/21,5124.83,#N/A,#N/A,#N/A,6008.05,#N/A,#N/A,#N/A,7397.76,#N/A,#N/A,#N/A
1995/09/22,5130.26,#N/A,#N/A,#N/A,5990.15,#N/A,#N/A,#N/A,7373.93,#N/A,#N/A,#N/A
1995/09/26,5132.48,#N/A,#N/A,#N/A,5983.34,#N/A,#N/A,#N/A,7368.69,#N/A,#N/A,#N/A
1995/09/27,5112.74,#N/A,#N/A,#N/A,5983.95,#N/A,#N/A,#N/A,7364.21,#N/A,#N/A,#N/A
1995/09/28,5101.64,#N/A,#N/A,#N/A,5992.56,#N/A,#N/A,#N/A,7375.67,#N/A,#N/A,#N/A
1995/09/29,5128.67,#N/A,#N/A,#N/A,6019.92,#N/A,#N/A,#N/A,7410.5,#N/A,#N/A,#N/A
1995/10/02,5122.64,#N/A,#N/A,#N/A,6002.13,#N/A,#N/A,#N/A,7390.61,#N/A,#N/A,#N/A
1995/10/03,5120.52,#N/A,#N/A,#N/A,6012.58,#N/A,#N/A,#N/A,7399.79,#N/A,#N/A,#N/A
1995/10/04,5138,#N/A,#N/A,#N/A,6028.96,#N/A,#N/A,#N/A,7420.9,#N/A,#N/A,#N/A
1995/10/05,5178.94,#N/A,#N/A,#N/A,6112.31,#N/A,#N/A,#N/A,7510.17,#N/A,#N/A,#N/A
1995/10/06,5204.52,#N/A,#N/A,#N/A,6155.05,#N/A,#N/A,#N/A,7562.56,#N/A,#N/A,#N/A
1995/10/09,5241.49,#N/A,#N/A,#N/A,6210.99,#N/A,#N/A,#N/A,7621.88,#N/A,#N/A,#N/A
1995/10/10,5192.37,#N/A,#N/A,#N/A,6137.38,#N/A,#N/A,#N/A,7538.77,#N/A,#N/A,#N/A
1995/10/11,5224.81,#N/A,#N/A,#N/A,6189.07,#N/A,#N/A,#N/A,7602.83,#N/A,#N/A,#N/A
1995/10/12,5254.42,#N/A,#N/A,#N/A,6256.36,#N/A,#N/A,#N/A,7705.61,#N/A,#N/A,#N/A
1995/10/13,5263.35,#N/A,#N/A,#N/A,6287.92,#N/A,#N/A,#N/A,7746.11,#N/A,#N/A,#N/A
1995/10/16,5269.56,#N/A,#N/A,#N/A,6321.02,#N/A,#N/A,#N/A,7790.78,#N/A,#N/A,#N/A
1995/10/17,5275.35,#N/A,#N/A,#N/A,6367.78,#N/A,#N/A,#N/A,7844.61,#N/A,#N/A,#N/A
1995/10/18,5336.91,#N/A,#N/A,#N/A,6472.26,#N/A,#N/A,#N/A,7961.84,#N/A,#N/A,#N/A
1995/10/19,5298.28,#N/A,#N/A,#N/A,6425.37,#N/A,#N/A,#N/A,7917.17,#N/A,#N/A,#N/A
1995/10/20,5273.85,#N/A,#N/A,#N/A,6371.66,#N/A,#N/A,#N/A,7865.06,#N/A,#N/A,#N/A
1995/10/23,5280.73,#N/A,#N/A,#N/A,6361.45,#N/A,#N/A,#N/A,7859.21,#N/A,#N/A,#N/A
1995/10/24,5266.62,#N/A,#N/A,#N/A,6327.58,#N/A,#N/A,#N/A,7830.94,#N/A,#N/A,#N/A
1995/10/25,5296.44,#N/A,#N/A,#N/A,6484.12,#N/A,#N/A,#N/A,7995.16,#N/A,#N/A,#N/A
1995/10/26,5258.85,#N/A,#N/A,#N/A,6382.11,#N/A,#N/A,#N/A,7911.86,#N/A,#N/A,#N/A
1995/10/27,5210.1,#N/A,#N/A,#N/A,6299.11,#N/A,#N/A,#N/A,7818.61,#N/A,#N/A,#N/A
